n,k,p_n,growth_avg,entry,factors,runtime_s,timeout
295,-258,72361808888131154904173226591582136849473585567605242815441100354225275625516061555579722615476535002947722088229961627107284054286840184263659360446930637378393181633529201181,0.9448241438242923,4052261297735344674633700689128599663570520791785893597664701619836615435028899447112464466466685960165072436940877851118007907040063050318764924185028115693190018171477635266136,"{2: 3, 7: 1, 72361808888131154904173226591582136849473585567605242815441100354225275625516061555579722615476535002947722088229961627107284054286840184263659360446930637378393181633529201181: 1}",33.876665353775024,0.23059773445129395
296,-131,37700947097003054071445913957604715487846196412929022852296701901989318702001109482764412464338375487640849205101875777557655503683108111650149341292777338566702019572293293963,0.9449606264543349,2412860614208195460572538493286701791222156570427457462546988921727316396928071006896922397717656031209014349126520049763689952235718919145609557842737749668268929252626770813632,"{2: 6, 37700947097003054071445913957604715487846196412929022852296701901989318702001109482764412464338375487640849205101875777557655503683108111650149341292777338566702019572293293963: 1}",33.04325580596924,0.23059773445129395
297,-246,578894471105012717586974743588655445528112990517986666672931001319654572628046760191499546915794449245934060305445929605836513257542961724472593564488637709600334945263303856661,0.9451073577003759,64836180763761424369741171281929409899148654938014506667368272147801312134341237141447949254568978315544614754209944115853689484844811713140930479222727423475237513869490031946032,"{2: 4, 7: 1, 578894471105012717586974743588655445528112990517986666672931001319654572628046760191499546915794449245934060305445929605836513257542961724472593564488637709600334945263303856661: 1}",33.5267870426178,0.23059773445129395
298,-281,87337452737155243218631793535446206293012883350758026429376107077629740110831654571273926748711383937457706722045621097588285302228265521754592489304065957095510023485858529,0.9451704981421671,259344723055062059907025491104591949954024864543208526128869457418310097550549721656596789427521511301387411972018701841960119320413536423167305194918894480693004812300223524090224,"{2: 4, 7: 1, 26513: 1, 87337452737155243218631793535446206293012883350758026429376107077629740110831654571273926748711383937457706722045621097588285302228265521754592489304065957095510023485858529: 1}",32.09406805038452,0.23059773445129395
299,-290,820711148908424240212105985698402012396067021476534799745555477356502983823791078969190384035757291725553415064282017025008622416084239743640864032857369265600195244172104138043,0.9452962476380498,1037378892220248239628101965922780143668628715146339986878382123378619771553271923817056645421197216741099516641252469519610898733930479035962052137531714751718646788633539630486352,"{2: 4, 79: 1, 820711148908424240212105985698402012396067021476534799745555477356502983823791078969190384035757291725553415064282017025008622416084239743640864032857369265600195244172104138043: 1}",33.09615230560303,0.23059773445129395
300,-189,32331909554269889400695401082167030453259800732452174029598305639756270526845203304591267069518891617038741823639275906252719720199810152344336312336759493683342437538825399609269,0.9454396832548503,4138484422946545843289011338517379898017254493753878275788583121888802627436186022987682184898418126980958953425827316000348124185575699500075047979105215191467832004969651149986432,"{2: 7, 32331909554269889400695401082167030453259800732452174029598305639756270526845203304591267069518891617038741823639275906252719720199810152344336312336759493683342437538825399609269: 1}",33.842180490493774,0.23059773445129395
301,-170,744675907078316053562751149010065764396094638251764147906034685742079629383790389693412277772422845303229802723817559354301587226111668042527248086826285086128074787082118543721,0.9455412343859786,15286707020503671947536155586878630011523030734032214428215080028913410631990449119626367238112296168384701390314526858425102982577620321576999348726369980248037119229221729465504688,"{2: 4, 1283: 1, 744675907078316053562751149010065764396094638251764147906034685742079629383790389693412277772422845303229802723817559354301587226111668042527248086826285086128074787082118543721: 1}",34.02896332740784,0.23059773445129395
302,-215,1185573611843978477137453701855532786958634686527549915283123978357387757701032514611322019617816257216409100135975355214315032432392089680923609652005564911789615753250126590618261,0.9456897242370411,66392122263262794719697407303909836069683542445542795255854942788013714431257820818234033098597710404118909607614619892001641816213957022131722140512311635060218482182007089074622616,"{2: 3, 7: 1, 1185573611843978477137453701855532786958634686527549915283123978357387757701032514611322019617816257216409100135975355214315032432392089680923609652005564911789615753250126590618261: 1}",33.1540253162384,0.23059773445129395
303,-218,9484599597019880980411573880273127593279076596668528957173912322089804806106826029381524669844779640584081264594900366741203864246858827738954393473732017654845275116262968329908173,0.9458427847815521,265568788716556667451524068647647572611814144706718810800869545018514534570991128822682690755653829936354275408657210268753708198912047176690723017264496494335667703255363113237428844,"{2: 2, 7: 1, 9484599597019880980411573880273127593279076596668528957173912322089804806106826029381524669844779640584081264594900366741203864246858827738954393473732017654845275116262968329908173: 1}",33.316001415252686,0.23059773445129395
304,-191,2068894048678446740268228647382066695293632786000321754973529357135260073991544010289762899439759547221828352678405099307318515724371314260776907972957062893994415651553148570930861,0.9459722185576133,1059273752923364731017333067459618147990339986432164738546447030853253157883670533268358604513156888177576116571343410845347080050878112901517776882154016201725140813595212068316600832,"{2: 9, 2068894048678446740268228647382066695293632786000321754973529357135260073991544010289762899439759547221828352678405099307318515724371314260776907972957062893994415651553148570930861: 1}",34.11924076080322,0.23059773445129395
