n,k,entry,factors,max_factor
82,-33,4683685930147600379966944174446848954980512914368,"{2: 6, 103: 1, 163: 1, 16664629: 1, 19370348064527: 1, 13503610047237075214601: 1}",13503610047237075214601
82,-31,3235797866674054146049814198446082724598800883168,"{2: 5, 193: 1, 523931001728311875979568361147357954112500143: 1}",523931001728311875979568361147357954112500143
82,-29,2135402938434159008272795416685500389508699739456,"{2: 6, 7: 1, 23: 2, 26399: 1, 341317592738889502083575191538445593357: 1}",341317592738889502083575191538445593357
82,-27,1345375810467054806791858855421492559187601482432,"{2: 6, 7: 1, 491: 1, 542567: 1, 143040071: 1, 78808491786692687551199308007: 1}",78808491786692687551199308007
82,-25,808937637156058126773938968143462550944880443712,"{2: 6, 7: 1, 403133088904898621279: 1, 4479077551180329710083661: 1}",4479077551180329710083661
82,-23,464084525741845975333847612036157545645988347392,"{2: 9, 3590767: 1, 252429380502701211349530926751337585073: 1}",252429380502701211349530926751337585073
82,-21,254001595799854664686435636476534956211031093312,"{2: 6, 7: 1, 47: 1, 12063145697181547525001692461841515777499577: 1}",12063145697181547525001692461841515777499577
82,-19,132620347388926351867930939486530793426389124288,"{2: 6, 12301: 1, 11828857627: 1, 14241212410431232243811867625421: 1}",14241212410431232243811867625421
82,-17,66056436970030180322299331459754317060617721920,"{2: 6, 5: 1, 36251: 1, 4960129105613794019: 1, 1148027243105583076349: 1}",1148027243105583076349
82,-15,31387733626855090975616202279141568953445116520,"{2: 3, 5: 1, 887: 1, 23399: 1, 37807594793164263053784183869069421001: 1}",37807594793164263053784183869069421001
82,-13,14228476416596713420187178745302936051915241120,"{2: 5, 5: 1, 277: 1, 22031: 1, 33277915543: 1, 437893320843180732881092277: 1}",437893320843180732881092277
82,-11,6153531847063359276455873552908285274724711520,"{2: 5, 5: 1, 11: 1, 43: 1, 193: 1, 35911785290280509: 1, 11731377886933506412747: 1}",11731377886933506412747
82,-9,2539032849272238850214241704884013022077522080,"{2: 5, 5: 1, 29: 1, 337: 1, 28949: 1, 1247680745573: 1, 44955558657745126662653: 1}",44955558657745126662653
82,-7,999524016879724594592805917762563729283348800,"{2: 6, 5: 2, 11: 1, 56791137322711624692773063509236575527463: 1}",56791137322711624692773063509236575527463
82,-5,375398814558435031503034652713327529501927200,"{2: 5, 5: 2, 40744594976236273: 1, 11516828636331433923894833: 1}",11516828636331433923894833
82,-3,134508385592323270310491357431166189235413600,"{2: 5, 5: 2, 353: 1, 5427809: 1, 625465961139739: 1, 140299599517423889: 1}",140299599517423889
82,-1,45976005715889033291009633524047064180199200,"{2: 5, 5: 2, 17: 1, 37: 1, 91367260961623675061624867893575246781: 1}",91367260961623675061624867893575246781
83,-80,93536104783856668906119376054463117690549884036828,"{2: 2, 7: 1, 83: 1, 64453: 1, 97007: 1, 2305103: 1, 260546273807: 1, 10718197205615817217: 1}",10718197205615817217
83,-78,93536104638412780762402987511437238847468719197444,"{2: 2, 43: 1, 1613: 1, 1923109: 1, 32707891: 1, 26120620993699: 1, 205199607354854459: 1}",205199607354854459
83,-76,93536102674920290822231742180587874465872993865760,"{2: 5, 5: 1, 13: 1, 271: 1, 1355329: 1, 21599: 1, 2651979163: 1, 2137460814384255813983459: 1}",2137460814384255813983459
83,-74,93536085221653713576265117017482413296133213139680,"{2: 5, 5: 1, 367: 1, 430300979: 1, 3701866973111373028177588339603494311: 1}",3701866973111373028177588339603494311
83,-72,93535970320982080040318168027038127262012990026320,"{2: 4, 5: 1, 13: 1, 89938433000944307731075161564459737751935567333: 1}",89938433000944307731075161564459737751935567333
83,-70,93535372837489585653394033276727839884587829836848,"{2: 4, 13: 1, 199: 1, 38509439: 1, 5175174083: 1, 199120283: 1, 56944503980536722839: 1}",56944503980536722839
83,-68,93532816935882804109329679067067166103380200137440,"{2: 5, 5: 1, 13: 1, 89: 1, 186039668429141: 1, 2715845848907025420406337966707: 1}",2715845848907025420406337966707
83,-66,93523567006258261378430111451152346704724016463392,"{2: 5, 13: 1, 14479: 1, 60869: 1, 1020259: 1, 135270483043747: 1, 1848330038207522119: 1}",1848330038207522119
83,-64,93494660976181565344368962651418536083923442481992,"{2: 3, 7: 2, 13: 2, 9033767615293: 1, 156223054493008473594468474241253: 1}",156223054493008473594468474241253
83,-62,93415437041897287325090258533629573641729276755192,"{2: 3, 13: 1, 1061: 1, 1435852433: 1, 589603588860096282359893297801945871: 1}",589603588860096282359893297801945871
83,-60,93222658801805544144845411847009765032390140153312,"{2: 5, 13: 1, 29: 1, 173: 1, 3851: 1, 3105333709477: 1, 3735100202626636174169023573: 1}",3735100202626636174169023573
83,-58,92802051732514468115220291803475637157468387567392,"{2: 5, 13: 1, 17035076251288532646613: 1, 13095442123974220397251049: 1}",13095442123974220397251049
83,-56,91972521123634845945681860606505551626372708856272,"{2: 4, 13: 1, 1821265834763: 1, 1049108718409: 1, 231420016153179246668027: 1}",231420016153179246668027
83,-54,90483620030773985641382112304251551955175336810672,"{2: 4, 11729738278949: 1, 482127232290650036884186576052147183: 1}",482127232290650036884186576052147183
