n,k,entry,factors,max_factor
30,-21,1100457393910136416,"{2: 5, 7: 1, 11: 2, 17: 1, 59: 1, 40479851543: 1}",40479851543
30,-19,1019961586858613644,"{2: 2, 7: 1, 36427199530664773: 1}",36427199530664773
30,-17,885801908439409024,"{2: 7, 7: 1, 988618201383269: 1}",988618201383269
30,-15,706922337213802864,"{2: 4, 7: 1, 11: 1, 573800598387827: 1}",573800598387827
30,-13,511006616347662784,"{2: 6, 389: 1, 1409: 1, 108943: 1, 133717: 1}",133717
30,-11,331417205553701044,"{2: 2, 5744595534107: 1, 14423: 1}",5744595534107
30,-9,191736552713953024,"{2: 8, 748970909038879: 1}",748970909038879
30,-7,98616117487454344,"{2: 3, 12327014685931793: 1}",12327014685931793
30,-5,45001321447955104,"{2: 5, 668141: 1, 2104782217: 1}",2104782217
30,-3,18193923428205484,"{2: 2, 31: 1, 19559: 1, 7501671299: 1}",7501671299
30,-1,6508647368314624,"{2: 8, 13: 1, 727: 1, 2690128429: 1}",2690128429
31,-28,4610862453899009308,"{2: 2, 7: 1, 11: 1, 13: 1, 31: 1, 37: 1, 61: 1, 71: 1, 181: 1, 601: 1, 2131: 1}",2131
31,-26,4602626808615223348,"{2: 2, 19: 1, 641513: 1, 94403198471: 1}",94403198471
31,-24,4562821189743591208,"{2: 3, 7: 1, 181141: 1, 449809539623: 1}",449809539623
31,-22,4438981486587402328,"{2: 3, 7: 1, 227: 1, 419: 1, 39659: 1, 21014239: 1}",21014239
31,-20,4160342154485977348,"{2: 2, 7: 2, 21226235482071313: 1}",21226235482071313
31,-18,3677367312176840716,"{2: 2, 7: 1, 47: 1, 83: 1, 33666892300297: 1}",33666892300297
31,-16,3006568920080817616,"{2: 4, 7: 1, 10499: 1, 2556849734057: 1}",2556849734057
31,-14,2239942186256791216,"{2: 4, 239: 1, 1431959: 1, 409061251: 1}",409061251
31,-12,1505258233008765916,"{2: 2, 376314558252191479: 1}",376314558252191479
31,-10,906626863695560116,"{2: 2, 293: 1, 13567: 1, 57018678359: 1}",57018678359
31,-8,487584905176316056,"{2: 3, 19: 1, 254027: 1, 12627773539: 1}",12627773539
31,-6,233620081831319656,"{2: 3, 11: 1, 47: 1, 22691: 1, 2489292931: 1}",2489292931
31,-4,99583091732571556,"{2: 2, 5813: 1, 4282775319653: 1}",4282775319653
31,-2,37719865533149356,"{2: 2, 41: 1, 157: 1, 211: 1, 20549: 1, 337873: 1}",337873
31,0,12679988261954656,"{2: 5, 396249633186083: 1}",396249633186083
32,-29,18444273380124415828,"{2: 2, 311: 1, 21577: 1, 687147718331: 1}",687147718331
32,-27,18418742879744679352,"{2: 3, 74071: 1, 56897: 1, 546301537: 1}",546301537
32,-25,18291090377845996972,"{2: 2, 37: 1, 193: 1, 4079: 1, 156988147937: 1}",156988147937
32,-23,17879765649505798192,"{2: 4, 7: 1, 11: 1, 126229: 1, 114971969939: 1}",114971969939
32,-21,16920007950045334372,"{2: 2, 7: 1, 271244863: 1, 2227824673: 1}",2227824673
32,-19,15192444091016499496,"{2: 3, 7: 1, 5987: 1, 45313787286193: 1}",45313787286193
32,-17,12697074072419293564,"{2: 2, 7: 2, 439: 1, 147564897871081: 1}",147564897871081
32,-15,9726395478851191264,"{2: 5, 303949858714099727: 1}",303949858714099727
32,-13,6755716885283088964,"{2: 2, 83: 1, 4667261: 1, 4359847207: 1}",4359847207
32,-11,4225138824095446264,"{2: 3, 7: 1, 19: 1, 130457: 1, 30439111243: 1}",30439111243
32,-9,2369381579224508284,"{2: 2, 1235442931: 1, 479459941: 1}",1235442931
32,-7,1188445150670275024,"{2: 4, 74277821916892189: 1}",74277821916892189
32,-5,532369357029034324,"{2: 2, 83: 1, 439: 1, 3652670067713: 1}",3652670067713
32,-3,212742688332019624,"{2: 3, 73: 1, 241: 1, 631: 1, 2389: 1, 1002719: 1}",1002719
32,-1,75759830319013324,"{2: 2, 11: 1, 6311: 1, 272827495711: 1}",272827495711
33,-30,73779564214082799100,"{2: 2, 5: 2, 7: 1, 17: 1, 337: 1, 4241: 1, 4338014017: 1}",4338014017
33,-28,73700502019358453884,"{2: 2, 13099: 1, 1406605504606429: 1}",1406605504606429
33,-26,73292014013282670268,"{2: 2, 13: 1, 157: 1, 509: 1, 6441637: 1, 2738039: 1}",6441637
33,-24,71930387326363391548,"{2: 2, 2069: 1, 108751039: 1, 79920557: 1}",108751039
33,-22,68639789499641801308,"{2: 2, 7: 1, 17: 1, 53: 1, 3319: 1, 13873: 1, 59090203: 1}",59090203
33,-20,62497340223094832860,"{2: 2, 5: 1, 7: 1, 313153: 1, 1425531842333: 1}",1425531842333
33,-18,53283666308274380188,"{2: 2, 7: 1, 1061: 1, 1793579719546061: 1}",1793579719546061
33,-16,41876260508972867356,"{2: 2, 22709: 1, 461009517250571: 1}",461009517250571
33,-14,29993546134700458156,"{2: 2, 7: 1, 11: 1, 92387: 1, 1054062187261: 1}",1054062187261
33,-12,19431133357569427756,"{2: 2, 149: 2, 218809213071139: 1}",218809213071139
33,-10,11333283561768971116,"{2: 2, 41: 1, 2399: 1, 28805913952381: 1}",28805913952381
33,-8,5934717031235333356,"{2: 2, 1709: 1, 868156382568071: 1}",868156382568071
33,-6,2785553221757377996,"{2: 2, 4567289: 1, 152473010891: 1}",152473010891
33,-4,1170597422025093196,"{2: 2, 227: 1, 691: 1, 2837: 1, 657634111: 1}",657634111
33,-2,440022179289059596,"{2: 2, 7447133: 1, 14771529503: 1}",14771529503
33,0,147792082194646156,"{2: 2, 36948020548661539: 1}",36948020548661539
34,-31,295125668937086603764,"{2: 2, 23: 1, 37: 1, 174659: 1, 496393931749: 1}",496393931749
34,-29,294881070272158160752,"{2: 4, 13: 1, 19: 1, 907: 1, 12479: 1, 25679: 1, 256723: 1}",256723
34,-27,293576544059206464688,"{2: 4, 1811: 1, 107137: 1, 187073: 1, 505513: 1}",505513
34,-25,289083175992372844912,"{2: 4, 23: 1, 43: 1, 449: 1, 10211: 1, 3984666017: 1}",3984666017
34,-23,277849755825288795472,"{2: 4, 5471: 1, 3174119857262027: 1}",3174119857262027
34,-21,256131810168926299888,"{2: 4, 7: 1, 37: 1, 79: 1, 947743: 1, 825517141: 1}",825517141
34,-19,222348339147917973424,"{2: 4, 7: 1, 17: 1, 409: 1, 1181: 1, 241765173289: 1}",241765173289
34,-17,178912447835192982256,"{2: 4, 67: 1, 263: 1, 577: 1, 1099801254323: 1}",1099801254323
34,-15,131856898913074241824,"{2: 5, 1129: 1, 3649714872483233: 1}",3649714872483233
34,-13,88286946207408741424,"{2: 4, 3533: 1, 1561826815160783: 1}",1561826815160783
34,-11,53430984042876341104,"{2: 4, 7: 1, 347: 1, 1408339: 1, 976199249: 1}",976199249
34,-9,29137434655474971184,"{2: 4, 19: 2, 127: 1, 179: 1, 1511: 1, 146859793: 1}",146859793
34,-7,14291376696507467344,"{2: 4, 197: 1, 355643: 1, 12748925779: 1}",12748925779
34,-5,6297345487832657584,"{2: 4, 15031: 1, 26184824229229: 1}",26184824229229
34,-3,2490663959892271984,"{2: 4, 47: 1, 103: 1, 32155855710239: 1}",32155855710239
